Client ID,Ciudad,Categoría de dispositivo,Marca del dispositivo móvil,Navegador,producto,Dominio del emplazamiento,Sistema operativo,Número de páginas vistas únicas,Sesiones,leadDrakkar (Goal 19 Completions),Transacciones,First billed
398892234.1562771866,Seville,mobile,Samsung,Chrome,playweez,mobileapp::2-com.linkdesks.bubblegames.bubbleshooter,Android,99,22,21,1,0
416187344.1549755217,Valladolid,mobile,LG,Chrome,clicnscores,mobileapp::2-com.resultadosfutbol.mobile,Android,98,17,17,1,1
321684414.1563983678,Zaragoza,mobile,Samsung,Samsung Internet,playup,mobileapp::2-fm.stations.Spain,Android,95,15,15,2,2
560194724.1563577280,Madrid,mobile,Huawei,Chrome,playup,youtube.com,Android,95,20,20,1,1
453769677.1558722283,Seville,mobile,BQ,Chrome,trendly,youtube.com,Android,94,25,24,1,1
279656026.1553890235,Barcelona,mobile,Samsung,Samsung Internet,unlimitedvideos,mobileapp::2-com.bestringtonesapps.freeringtonesforandroid,Android,94,15,15,1,1
614806002.1561409642,Seville,mobile,Huawei,Chrome,playweez,mobileapp::2-paint.by.number.pixel.art.coloring.drawing.puzzle,Android,93,19,18,1,1
993527698.1564949700,Madrid,mobile,Samsung,Android Browser,playup,youtube.com,Android,92,16,16,1,0
388113470.1551022462,Alcala de Henares,mobile,LG,Chrome,clicnscores,youtube.com,Android,92,20,20,1,1
383908081.1563536717,Valladolid,mobile,Samsung,Chrome,playup,youtube.com,Android,91,20,20,1,1
115169667.1568387863,Valladolid,mobile,Huawei,Chrome,cocinatop,youtube.com,Android,91,14,14,1,1
421213845.1566068400,Zaragoza,mobile,LG,Chrome,playweez,mobileapp::2-com.neonplay.casualrollersplat2,Android,90,23,22,1,1
856733005.1543174501,Valladolid,mobile,Samsung,Samsung Internet,clicnscores,mobileapp::2-com.resultadosfutbol.mobile,Android,89,17,17,1,1
531593239.1545209027,Valencia,mobile,Sony,Chrome,musiqradio,mobileapp::2-com.appmind.radios.es,Android,89,14,14,1,0
521544092.1558822780,Seville,mobile,Samsung,Samsung Internet,trendly,youtube.com,Android,88,27,27,1,1
670556188.1551166509,Seville,mobile,Xiaomi,Chrome,trendly,mobileapp::2-com.IVR.tuhoroscopodiario,Android,87,19,19,1,1
397995053.1546516233,Barcelona,mobile,Apple,Safari,musiqradio,mobileapp::1-1118543208,iOS,86,18,18,1,1
566368570.1554582398,Zaragoza,mobile,Xiaomi,Chrome,clicnscores,mobileapp::2-com.wiseplay,Android,86,18,18,1,1
897063275.1532274568,Madrid,mobile,Huawei,Chrome,playweez,mobileapp::2-com.alcamasoft.memorymatch,Android,85,18,16,1,1
553436583.1560809419,Madrid,mobile,Samsung,Samsung Internet,playup,youtube.com,Android,84,17,17,1,0
414302397.1551556381,Valladolid,mobile,Huawei,Chrome,clicnscores,mobileapp::2-es.eltiempo.weatherapp,Android,84,14,14,1,1
486840064.1546316422,Seville,mobile,Huawei,Chrome,playweez,uptodown.com,Android,84,14,14,1,1
705540339.1565040902,Zaragoza,mobile,(not set),Android Webview,trendly,mobileapp::2-com.easybrain.sudoku.android,Android,84,18,17,1,1
884066035.1568307548,Valladolid,mobile,(not set),Android Webview,playweez,mobileapp::2-com.freegame.solitaire.basic2,Android,84,14,14,1,1
865205756.1530554277,Madrid,mobile,Wiko,Chrome,playweez,mobileapp::2-com.spacegame.basic3,Android,83,13,13,1,1
287696640.1560973237,Barcelona,mobile,LG,Chrome,playup,youtube.com,Android,80,12,12,2,2
167581297.1552831703,Valladolid,mobile,Samsung,Samsung Internet,playup,mobileapp::2-com.appmind.radios.es,Android,80,16,16,1,1
669373572.1552760134,Valencia,mobile,BQ,Chrome,musiqradio,mobileapp::2-workout.fitness.training.abs.loseweight,Android,79,18,18,1,1
508693220.1565257021,Valladolid,mobile,Huawei,Android Webview,playweez,thestartmagazine.com,Android,79,10,10,2,2
306738090.1568969350,Madrid,mobile,LG,Chrome,playup,youtube.com,Android,78,10,10,1,1
442363799.1534459351,Seville,tablet,Huawei,Chrome,playweez,mobileapp::2-com.alcamasoft.memorymatch,Android,77,24,23,1,1
391537180.1564825968,Valencia,mobile,LG,Chrome,playup,youtube.com,Android,77,11,11,1,0
570919122.1561213212,Seville,mobile,LG,Chrome,playup,mobileapp::2-com.avast.android.mobilesecurity,Android,77,15,15,1,1
178643051.1550355870,Seville,mobile,Samsung,Samsung Internet,unlimitedvideos,mobileapp::2-com.noveturcas.appvi2,Android,76,14,13,1,1
623253371.1529688217,Zaragoza,mobile,Samsung,Chrome,playweez,youtube.com,Android,75,19,15,1,0
892187933.1540489850,Valencia,mobile,BQ,Chrome,clicnscores,mobileapp::2-com.resultadosfutbol.mobile,Android,74,21,21,1,1
908641947.1570469706,Madrid,mobile,(not set),Chrome,playweez,mobileapp::2-com.superbox.aos.jewelhunter,Android,74,7,7,1,1
734638277.1550067673,Valladolid,mobile,Samsung,Samsung Internet,playup,youtube.com,Android,73,20,20,1,0
876541997.1564509606,Madrid,mobile,Xiaomi,Chrome,playweez,mobileapp::2-com.happydream.wordsearch,Android,73,15,14,1,1
769703364.1559073992,Valladolid,mobile,Samsung,Chrome,clicnscores,diariogol.com,Android,71,20,20,2,2
517538661.1539537719,Seville,mobile,Xiaomi,Chrome,trendly,youtube.com,Android,71,13,13,1,1
970681145.1552066469,Madrid,mobile,Asus,Chrome,musiqradio,mobileapp::2-com.bitsmedia.android.muslimpro,Android,71,16,16,1,1
422244002.1557678194,Seville,mobile,Samsung,Samsung Internet,clicnscores,youtube.com,Android,71,13,13,1,1
225789302.1550925713,Zaragoza,mobile,Sony,Chrome,ponelvideo,mobileapp::2-com.sony.nfx.app.sfrc,Android,70,13,13,1,1
410251960.1566640206,Valladolid,mobile,Huawei,Chrome,trendly,mobileapp::2-com.bitmango.go.unblockcasual,Android,70,12,12,1,1
746396365.1551033191,Madrid,mobile,Samsung,Samsung Internet,unlimitedvideos,mobileapp::2-com.sky.free.music,Android,70,13,13,1,1
243048071.1565200187,Madrid,mobile,LeTV,Android Webview,playup,youtube.com,Android,70,11,11,2,0
342495247.1545049485,Seville,mobile,(not set),Firefox,unlimitedvideos,mobileapp::2-com.meihillman.callrecorder,Android,70,15,15,1,1
810793619.1537777078,Seville,mobile,BQ,Chrome,playweez,mobileapp::2-com.melele.cinquillo,Android,69,13,13,1,1
368269553.1538825079,Valencia,mobile,Huawei,Chrome,unlimitedvideos,mobileapp::2-com.appgeneration.itunerfree,Android,69,15,15,1,0
440372935.1567247468,Barcelona,mobile,LG,Chrome,playup,mobileapp::2-com.nextwebart.senego,Android,69,11,11,1,1
854198002.1556531666,Alcala de Henares,mobile,Huawei,Chrome,trendly,cotilleo.es,Android,69,13,13,1,1
932317740.1536059427,Seville,mobile,Huawei,Chrome,playup,youtube.com,Android,69,11,11,1,1
387509630.1550728985,Valladolid,mobile,Alcatel,Chrome,playup,youtube.com,Android,68,11,11,1,1
995788498.1556864779,Seville,mobile,Samsung,Samsung Internet,trendly,youtube.com,Android,68,15,15,1,1
813319717.1564827092,Seville,mobile,(not set),Samsung Internet,unlimitedvideos,mobileapp::2-com.radiofmapp.radioespanna,Android,67,11,11,1,1
768518465.1555462139,Valladolid,mobile,Vodafone,Chrome,trendly,youtube.com,Android,67,13,13,1,1
825369437.1563529793,Zaragoza,mobile,Samsung,Samsung Internet,playup,mobileapp::2-com.radio.fmradio,Android,67,13,13,1,1
575372562.1529179043,Valencia,mobile,LG,Chrome,playweez,mobileapp::2-com.LoopGames.Domino,Android,67,16,15,1,0
275457344.1557411555,Barcelona,mobile,Sony,Android Webview,trendly,catalunyadiari.com,Android,67,12,12,1,0
380936465.1565592541,Seville,mobile,Sony,Chrome,trendly,mobileapp::2-photoeditor.photo.video.pic.collage,Android,67,15,15,1,0
677575026.1544718815,(not set),mobile,Vodafone,Chrome,clicnscores,youtube.com,Android,66,22,22,1,1
579688094.1546448636,Seville,mobile,Sony,Chrome,ponelvideo,youtube.com,Android,65,14,9,1,1
590046861.1566975565,Seville,mobile,Huawei,Chrome,playup,youtube.com,Android,65,12,12,1,1
350478629.1560289773,Zaragoza,mobile,LG,Chrome,trendly,youtube.com,Android,65,14,14,1,0
731682896.1539295001,Seville,mobile,Samsung,Chrome,unlimitedvideos,mobileapp::2-com.dotc.latin.ime.tap,Android,65,10,10,1,0
959075786.1542820188,Zaragoza,mobile,Huawei,Chrome,ponelvideo,cotilleo.es,Android,64,15,15,1,1
847137920.1551540516,Seville,mobile,Samsung,Chrome,playweez,mobileapp::2-com.brainium.sudoku.free,Android,64,11,11,1,1
963570598.1564816784,Barcelona,mobile,Samsung,Samsung Internet,playup,youtube.com,Android,64,12,12,1,1
920164558.1555716163,Valladolid,mobile,Samsung,Samsung Internet,playweez,mobileapp::2-com.sweetfuirt.candy,Android,63,13,9,1,1
893404024.1560635682,Madrid,mobile,Huawei,Chrome,clicnscores,mobileapp::2-com.player.rulo.iptv,Android,63,12,12,1,1
504667125.1564482349,Seville,mobile,(not set),Chrome,cocinatop,youtube.com,Android,63,12,12,1,0
569576944.1566999321,Madrid,mobile,Huawei,Chrome,playup,mobileapp::2-tv.chokri.maroc,Android,63,15,15,1,0
669507401.1563057270,Seville,mobile,Huawei,Chrome,playup,youtube.com,Android,62,14,14,1,1
657035269.1559401945,Madrid,mobile,Huawei,Chrome,playweez,lwarb.com,Android,62,10,8,1,1
766836171.1560765511,Seville,mobile,Samsung,Chrome,trendly,youtube.com,Android,62,13,12,1,1
102543847.1549367107,Seville,mobile,Samsung,Samsung Internet,unlimitedvideos,mobileapp::2-es.planetmedia.diezminutos,Android,62,12,12,1,1
121554649.1547399324,Barcelona,mobile,Motorola,Chrome,clicnscores,mobileapp::2-com.resultadosfutbol.mobile,Android,61,13,13,1,1
389857819.1541272512,Vigo,mobile,Samsung,Chrome,playweez,mobileapp::2-com.LoopGames.Hexa,Android,61,12,10,1,0
151244233.1571501386,Seville,mobile,Samsung,Samsung Internet,playweez,mobileapp::2-com.LoopGames.Domino,Android,61,10,9,1,1
876360304.1559816852,Barcelona,mobile,Samsung,Chrome,playup,youtube.com,Android,61,9,9,1,1
302701878.1551551951,Valladolid,mobile,Huawei,Android Webview,clicnscores,mobileapp::2-com.wallapop,Android,61,10,10,1,1
860168207.1547487498,Seville,mobile,Huawei,Chrome,playup,youtube.com,Android,61,10,10,1,1
565714185.1531833745,Madrid,mobile,Samsung,Samsung Internet,trendly,youtube.com,Android,61,12,12,1,1
887399034.1556136091,Seville,mobile,Vodafone,Chrome,playup,youtube.com,Android,60,12,12,1,0
145577222.1563366913,Valladolid,mobile,BQ,Chrome,playup,youtube.com,Android,60,18,18,1,1
918863016.1562697063,Zaragoza,mobile,Samsung,Samsung Internet,trendly,mobileapp::2-messenger.chat.social.messenger,Android,60,10,10,1,1
552928958.1566665230,Seville,mobile,Huawei,Chrome,playweez,mobileapp::2-com.LoopGames.Domino,Android,60,11,9,1,1
2076330050.1556025103,Madrid,mobile,Samsung,Samsung Internet,cocinatop,elpais.com,Android,60,7,7,5,2
136228661.1557403745,Madrid,mobile,Huawei,Chrome,trendly,cotilleo.es,Android,60,12,12,1,1
902523385.1564678795,Barcelona,mobile,Xiaomi,Chrome,clicnscores,mobileapp::2-com.resultadosfutbol.mobile,Android,59,11,11,1,1
713004604.1565390488,Valladolid,mobile,Xiaomi,Chrome,clicnscores,youtube.com,Android,59,12,12,1,0
791149803.1561058671,Valencia,mobile,(not set),Samsung Internet,playweez,gamenotover.co,Android,58,11,3,1,1
496655842.1546359461,Valencia,mobile,Samsung,Samsung Internet,playup,youtube.com,Android,58,12,12,1,1
114056993.1551273996,Seville,mobile,Xiaomi,Chrome,playweez,lwarb.com,Android,58,11,11,1,1
918611263.1562669129,Seville,mobile,Huawei,Chrome,playweez,mobileapp::2-com.sweetfuirt.candy,Android,58,14,14,1,1
927519366.1546718630,Valladolid,mobile,Samsung,Chrome,taromancia,mobileapp::2-freedom.bubble,Android,58,13,13,1,0
491558826.1548074334,Seville,mobile,BQ,Chrome,unlimitedvideos,mobileapp::2-com.atpc,Android,57,10,10,1,0
898410033.1562502698,Seville,mobile,LG,Chrome,playweez,soolide.com,Android,57,12,11,1,1
264973943.1562502104,Valladolid,mobile,Sony,Chrome,playup,youtube.com,Android,57,11,11,1,1
236594638.1560960085,Zaragoza,mobile,Samsung,Chrome,playup,youtube.com,Android,57,9,9,1,1
666538281.1564927284,Madrid,mobile,Samsung,Chrome,playup,youtube.com,Android,57,9,9,1,1
498204955.1552457398,Valencia,mobile,Orange,Android Browser,clicnscores,mobileapp::2-com.resultadosfutbol.mobile,Android,57,12,12,1,1
662339766.1554463195,Madrid,mobile,Xiaomi,Chrome,playweez,mobileapp::2-txl.Chinchon,Android,56,11,10,1,0
445673384.1568791277,Malaga,mobile,Huawei,Chrome,playweez,apkpure.com,Android,56,12,10,1,0
294045059.1558898075,Barcelona,mobile,Samsung,Android Webview,playweez,thestartmagazine.com,Android,56,10,10,1,1
615657734.1567525813,Madrid,mobile,Samsung,Samsung Internet,playup,mobileapp::2-com.radio.fmradio,Android,55,10,9,1,1
933622414.1562347727,Madrid,mobile,Wiko,Chrome,clicnscores,mobileapp::2-com.qihoo.security,Android,55,10,10,1,1
287975527.1555167240,Alcala de Henares,mobile,Samsung,Samsung Internet,clicnscores,mobileapp::2-com.sicretadvance.verfutbolenvivotvgratisenhdcanalesguia,Android,55,9,9,1,1
519719738.1509295253,Alcala de Henares,mobile,LG,Chrome,clicnscores,mobileapp::2-com.resultadosfutbol.mobile,Android,55,12,12,1,1
851322931.1512248617,Madrid,mobile,Samsung,Chrome,musiqradio,youtube.com,Android,55,11,11,1,1
356834633.1564625646,Valladolid,mobile,Samsung,Samsung Internet,playup,youtube.com,Android,55,15,15,1,0
482364773.1557925302,Madrid,mobile,Alcatel,Chrome,clicnscores,mobileapp::2-com.resultadosfutbol.mobile,Android,54,11,11,1,1
735895229.1553947741,Madrid,mobile,BQ,Chrome,cocinatop,youtube.com,Android,54,17,17,1,1
820568397.1544371642,Zaragoza,mobile,Sony,Chrome,clicnscores,mobileapp::2-com.sony.nfx.app.sfrc,Android,54,13,12,1,1
461062048.1547230501,Seville,mobile,Samsung,Samsung Internet,cocinatop,mobileapp::2-de.axelspringer.yana.zeropage,Android,54,10,10,1,1
229369724.1561305203,Madrid,mobile,Samsung,Samsung Internet,playup,youtube.com,Android,54,9,9,1,0
536904246.1563137221,Valladolid,mobile,Nokia,Safari,unlimitedvideos,mobileapp::3-63c76a44-3391-4c5c-8808-4226fdd9bb92,Windows Phone,53,13,13,1,1
756963126.1549491577,Valladolid,mobile,Samsung,Samsung Internet,trendly,youtube.com,Android,53,12,12,1,1
497121441.1559573710,Madrid,mobile,(not set),Chrome,clicnscores,youtube.com,Android,53,11,11,1,1
486905853.1556462372,Madrid,mobile,Xiaomi,Chrome,trendly,esdiario.com,Android,53,10,10,1,1
798986878.1563097450,Seville,mobile,Samsung,Chrome,playup,youtube.com,Android,53,12,12,1,1
611264869.1547071924,Valencia,mobile,Samsung,Samsung Internet,cocinatop,mobileapp::2-de.axelspringer.yana.zeropage,Android,53,9,8,1,1
583423393.1554480937,Seville,mobile,Samsung,Samsung Internet,unlimitedvideos,mobileapp::2-com.appgeneration.itunerfree,Android,53,9,9,1,1
667059888.1521851140,Madrid,mobile,BQ,Chrome,playweez,mobileapp::2-txl.Cinquillo,Android,52,13,13,1,1
300192872.1565791544,Valencia,mobile,(not set),Chrome,playup,youtube.com,Android,52,8,8,1,1
404050067.1560274733,Madrid,mobile,Wiko,Chrome,clicnscores,youtube.com,Android,52,16,16,1,1
372300133.1547238334,Seville,mobile,Samsung,Samsung Internet,trendly,youtube.com,Android,52,13,13,1,1
107526156.1531518889,Valencia,mobile,Samsung,Samsung Internet,trendly,mobileapp::2-net.lovoo.android,Android,51,11,11,1,1
522704251.1556128229,Madrid,mobile,(not set),Chrome,unlimitedvideos,mobileapp::2-com.isvazcan.Chicotaz,Android,51,12,12,1,1
466362607.1566491744,Valladolid,mobile,Samsung,Samsung Internet,trendly,mobileapp::2-com.apptitudes_client.sffactory_mhdj,Android,51,12,12,1,1
617677795.1561353230,Barcelona,mobile,Huawei,Android Webview,unlimitedvideos,mobileapp::2-com.dywx.larkplayer,Android,51,17,17,1,1
628899178.1560378751,Valencia,mobile,Alcatel,Chrome,trendly,mobileapp::2-com.wordloco.wordchallenge,Android,51,9,9,1,1
607266174.1563138075,Seville,mobile,Xiaomi,Chrome,playup,youtube.com,Android,51,11,11,1,1
780037916.1565426040,Alcala de Henares,mobile,Samsung,Samsung Internet,unlimitedvideos,mobileapp::2-com.editvideos.videomaker.videoshowmusic,Android,50,12,12,1,1
564131378.1556221340,Madrid,mobile,Samsung,Samsung Internet,clicnscores,youtube.com,Android,50,10,10,1,0
249423914.1564422242,Madrid,mobile,LG,Chrome,playweez,mobileapp::2-paint.by.number.pixel.art.coloring.drawing.puzzle,Android,50,11,11,1,1
500924895.1553959681,Seville,mobile,BQ,Chrome,playweez,strawgame.com,Android,50,7,3,1,1
447200816.1556305663,Seville,mobile,Samsung,Chrome,trendly,youtube.com,Android,49,10,10,1,1
713077459.1561475899,Seville,mobile,Huawei,Chrome,playweez,mobileapp::2-donnaipe.subastado,Android,49,9,5,1,1
279806750.1562451571,Seville,mobile,Samsung,Samsung Internet,playup,youtube.com,Android,49,7,7,1,1
961892622.1558473824,Seville,mobile,Samsung,Samsung Internet,trendly,youtube.com,Android,49,9,9,1,1
285046285.1571491361,Zaragoza,mobile,LG,Chrome,trendly,mobileapp::2-com.alfa.juminjia.gplay,Android,49,7,7,1,0
495166381.1552501758,Seville,mobile,Samsung,Chrome,playweez,mobileapp::2-bubble.shoot.bubbles.game.saga.world,Android,49,9,7,1,1
690494915.1563102036,Zaragoza,mobile,LG,Chrome,playup,youtube.com,Android,49,13,13,1,1
193536687.1565039798,Valencia,mobile,(not set),Samsung Internet,playup,mitele.es,Android,49,9,9,1,0
276474085.1554928613,Madrid,mobile,Alcatel,Chrome,clicnscores,mobileapp::2-com.a68.f88.myfutball,Android,49,11,11,1,1
326883621.1567757665,Valencia,mobile,Wiko,Chrome,playup,youtube.com,Android,49,9,9,1,0
640157854.1553967698,Barcelona,mobile,Samsung,Samsung Internet,trendly,mobileapp::2-com.dotc.latin.ime.tap,Android,49,9,9,1,1
804714648.1561886778,Valencia,mobile,Samsung,Samsung Internet,playup,youtube.com,Android,49,6,6,1,1
968383632.1560848358,Seville,mobile,Samsung,Chrome,playweez,youtube.com,Android,48,7,7,1,0
594246883.1546548827,Madrid,mobile,(not set),Android Webview,musiqradio,mobileapp::2-com.imo.android.imoim,Android,48,12,12,1,0
556053081.1545634921,Seville,mobile,(not set),Chrome,trendly,mobileapp::2-com.horoscopo.magico,Android,48,10,10,1,0
787907027.1563046469,Valencia,mobile,LG,Chrome,clicnscores,mobileapp::2-com.resultadosfutbol.mobile,Android,48,9,9,1,1
712261109.1568895176,Zaragoza,mobile,Samsung,Android Webview,trendly,lacoctelera.top,Android,48,7,7,1,1
308925310.1563444925,Seville,mobile,Samsung,Chrome,trendly,youtube.com,Android,48,10,10,1,1
835909323.1564824980,Madrid,mobile,Huawei,Chrome,unlimitedvideos,loteriasdominicanas.com,Android,48,15,15,1,1
286985801.1540239900,Seville,mobile,Lenovo,Chrome,playweez,mobileapp::2-com.pixel.art.coloring.color.number,Android,48,9,4,1,1
653007901.1564653801,Valladolid,mobile,Samsung,Samsung Internet,clicnscores,youtube.com,Android,48,11,11,1,1
519424108.1550043358,Valencia,mobile,Huawei,Chrome,canaltv,libertaddigital.com,Android,48,10,10,1,1
147059865.1555740648,Seville,mobile,Huawei,Chrome,playup,mobileapp::2-com.appgeneration.itunerfree,Android,48,9,9,1,1
135737060.1562350451,Seville,mobile,Wiko,Chrome,trendly,youtube.com,Android,48,10,10,1,1
617223141.1561308498,Valencia,mobile,Samsung,Samsung Internet,clicnscores,youtube.com,Android,48,10,10,1,1
358550284.1567937143,Madrid,mobile,Samsung,Samsung Internet,playup,youtube.com,Android,48,6,6,1,0
592209768.1536515587,Valencia,mobile,Samsung,Chrome,clicnscores,mobileapp::2-com.resultadosfutbol.mobile,Android,47,10,10,1,1
526897969.1559637571,Valladolid,mobile,Xiaomi,Chrome,trendly,tiempo.com,Android,47,12,12,1,1
235920466.1560966845,Barcelona,mobile,Samsung,Samsung Internet,playup,youtube.com,Android,47,8,8,1,1
578707767.1564832517,Seville,mobile,Samsung,Samsung Internet,playup,youtube.com,Android,47,6,6,1,1
189281307.1565712696,Valladolid,mobile,Xiaomi,Chrome,trendly,mobileapp::2-es.corporacion.lavoz,Android,47,10,10,1,1
129389273.1558207569,Seville,mobile,Huawei,Chrome,playweez,jimook.com,Android,47,6,6,1,0
517545683.1561841357,Valencia,mobile,Samsung,Samsung Internet,playup,youtube.com,Android,47,7,7,1,1
631669723.1559073661,Seville,mobile,Samsung,Samsung Internet,trendly,youtube.com,Android,47,10,10,1,1
771500553.1550494744,Madrid,mobile,Huawei,Chrome,playweez,mobileapp::2-com.LoopGames.Domino,Android,47,10,10,1,1
368399348.1510418621,Barcelona,mobile,Xiaomi,Chrome,playweez,mobileapp::2-com.candytown.juicycandyblock,Android,47,7,7,1,0
623108034.1563791395,Valladolid,mobile,Xiaomi,Chrome,playup,youtube.com,Android,47,10,10,1,1
893432785.1546803526,Madrid,mobile,Samsung,Samsung Internet,playweez,mobileapp::2-com.jdpapps.brisca,Android,47,9,8,1,1
955267055.1516467103,Barcelona,mobile,LG,Chrome,clicnscores,larepublica.cat,Android,46,8,7,1,1
249506493.1534442925,Valladolid,mobile,Huawei,Chrome,trendly,mobileapp::2-es.eltiempo.weatherapp,Android,46,8,8,1,1
601538220.1567453464,Valladolid,mobile,(not set),Android Browser,trendly,mobileapp::2-com.block.hoptac.jewel1010.classic.tetris,Android,46,10,10,1,0
975233180.1563362723,Seville,mobile,Samsung,Samsung Internet,clicnscores,youtube.com,Android,46,9,9,1,1
316907118.1545501005,Seville,mobile,Samsung,Samsung Internet,playup,youtube.com,Android,46,10,10,1,1
191596108.1561540912,Seville,mobile,ZTE,Chrome,trendly,youtube.com,Android,46,9,9,1,0
512882895.1565101476,Valencia,mobile,(not set),Samsung Internet,unlimitedvideos,mobileapp::2-comm.mailboxall.inone,Android,46,8,8,1,0
